Depth First Search
Goal Found
Final Number of States Visited: 559
Final Path
Length: 558
[77, 69, 1, 23, 21, 0]
[76, 69, 0, 24, 21, 1]
[78, 69, 1, 22, 21, 0]
[77, 69, 0, 23, 21, 1]
[79, 69, 1, 21, 21, 0]
[78, 69, 0, 22, 21, 1]
[78, 70, 1, 22, 20, 0]
[77, 70, 0, 23, 20, 1]
[79, 70, 1, 21, 20, 0]
[78, 70, 0, 22, 20, 1]
[80, 70, 1, 20, 20, 0]
[79, 70, 0, 21, 20, 1]
[79, 71, 1, 21, 19, 0]
[78, 71, 0, 22, 19, 1]
[80, 71, 1, 20, 19, 0]
[79, 71, 0, 21, 19, 1]
[81, 71, 1, 19, 19, 0]
[80, 71, 0, 20, 19, 1]
[80, 72, 1, 20, 18, 0]
[79, 72, 0, 21, 18, 1]
[81, 72, 1, 19, 18, 0]
[80, 72, 0, 20, 18, 1]
[82, 72, 1, 18, 18, 0]
[81, 72, 0, 19, 18, 1]
[81, 73, 1, 19, 17, 0]
[80, 73, 0, 20, 17, 1]
[82, 73, 1, 18, 17, 0]
[81, 73, 0, 19, 17, 1]
[83, 73, 1, 17, 17, 0]
[82, 73, 0, 18, 17, 1]
[82, 74, 1, 18, 16, 0]
[81, 74, 0, 19, 16, 1]
[83, 74, 1, 17, 16, 0]
[82, 74, 0, 18, 16, 1]
[84, 74, 1, 16, 16, 0]
[83, 74, 0, 17, 16, 1]
[83, 75, 1, 17, 15, 0]
[82, 75, 0, 18, 15, 1]
[84, 75, 1, 16, 15, 0]
[83, 75, 0, 17, 15, 1]
[85, 75, 1, 15, 15, 0]
[84, 75, 0, 16, 15, 1]
[84, 76, 1, 16, 14, 0]
[83, 76, 0, 17, 14, 1]
[85, 76, 1, 15, 14, 0]
[84, 76, 0, 16, 14, 1]
[86, 76, 1, 14, 14, 0]
[85, 76, 0, 15, 14, 1]
[85, 77, 1, 15, 13, 0]
[84, 77, 0, 16, 13, 1]
[86, 77, 1, 14, 13, 0]
[85, 77, 0, 15, 13, 1]
[87, 77, 1, 13, 13, 0]
[86, 77, 0, 14, 13, 1]
[86, 78, 1, 14, 12, 0]
[85, 78, 0, 15, 12, 1]
[87, 78, 1, 13, 12, 0]
[86, 78, 0, 14, 12, 1]
[88, 78, 1, 12, 12, 0]
[87, 78, 0, 13, 12, 1]
[87, 79, 1, 13, 11, 0]
[86, 79, 0, 14, 11, 1]
[88, 79, 1, 12, 11, 0]
[87, 79, 0, 13, 11, 1]
[89, 79, 1, 11, 11, 0]
[88, 79, 0, 12, 11, 1]
[88, 80, 1, 12, 10, 0]
[87, 80, 0, 13, 10, 1]
[89, 80, 1, 11, 10, 0]
[88, 80, 0, 12, 10, 1]
[90, 80, 1, 10, 10, 0]
[89, 80, 0, 11, 10, 1]
[89, 81, 1, 11, 9, 0]
[88, 81, 0, 12, 9, 1]
[90, 81, 1, 10, 9, 0]
[89, 81, 0, 11, 9, 1]
[91, 81, 1, 9, 9, 0]
[90, 81, 0, 10, 9, 1]
[90, 82, 1, 10, 8, 0]
[89, 82, 0, 11, 8, 1]
[91, 82, 1, 9, 8, 0]
[90, 82, 0, 10, 8, 1]
[92, 82, 1, 8, 8, 0]
[91, 82, 0, 9, 8, 1]
[91, 83, 1, 9, 7, 0]
[90, 83, 0, 10, 7, 1]
[92, 83, 1, 8, 7, 0]
[91, 83, 0, 9, 7, 1]
[93, 83, 1, 7, 7, 0]
[92, 83, 0, 8, 7, 1]
[92, 84, 1, 8, 6, 0]
[91, 84, 0, 9, 6, 1]
[93, 84, 1, 7, 6, 0]
[92, 84, 0, 8, 6, 1]
[94, 84, 1, 6, 6, 0]
[93, 84, 0, 7, 6, 1]
[93, 85, 1, 7, 5, 0]
[92, 85, 0, 8, 5, 1]
[94, 85, 1, 6, 5, 0]
[93, 85, 0, 7, 5, 1]
[95, 85, 1, 5, 5, 0]
[94, 85, 0, 6, 5, 1]
[94, 86, 1, 6, 4, 0]
[93, 86, 0, 7, 4, 1]
[95, 86, 1, 5, 4, 0]
[94, 86, 0, 6, 4, 1]
[96, 86, 1, 4, 4, 0]
[95, 86, 0, 5, 4, 1]
[95, 87, 1, 5, 3, 0]
[94, 87, 0, 6, 3, 1]
[96, 87, 1, 4, 3, 0]
[95, 87, 0, 5, 3, 1]
[97, 87, 1, 3, 3, 0]
[96, 87, 0, 4, 3, 1]
[96, 88, 1, 4, 2, 0]
[95, 88, 0, 5, 2, 1]
[97, 88, 1, 3, 2, 0]
[96, 88, 0, 4, 2, 1]
[98, 88, 1, 2, 2, 0]
[97, 88, 0, 3, 2, 1]
[97, 89, 1, 3, 1, 0]
[96, 89, 0, 4, 1, 1]
[98, 89, 1, 2, 1, 0]
[97, 89, 0, 3, 1, 1]
[99, 89, 1, 1, 1, 0]
[98, 89, 0, 2, 1, 1]
[100, 89, 1, 0, 1, 0]
[99, 89, 0, 1, 1, 1]
[99, 90, 1, 1, 0, 0]
[98, 90, 0, 2, 0, 1]
[100, 90, 1, 0, 0, 0]
